,2019,2020,2021,2022,2023
HBAN,1.2432652470551557,3.4477804829052587,1.4135090909317758,2.0384921295355967,0.0
HBI,2.607191379108159,4.361007350557043,2.658931836786233,5.457554251455934,0.0
HCA,13.582302409138213,36.231206554738385,50.16048904440589,44.180332514818666,0.0
HD,30.120101938796907,50.06711260103526,66.7229521952035,48.76416651106735,0.0
HES,8.286299442949439,15.315145559310285,15.266908082382379,27.436488611274147,0.0
HII,27.899710826745334,61.15807791644125,25.50781499140482,29.26748094607009,0.0
HLT,15.546186098850441,24.388581640313056,19.11486340320998,20.468208555921432,0.0
HOLX,4.475498294097988,18.46651795710147,8.790397580520992,6.552501551389578,0.0
HON,18.873586431236287,39.956569183049254,16.161700863367923,21.51529849532437,0.0
HPE,1.786779953860886,3.245813848084279,1.801134416425129,2.5009705348896762,0.0
HPQ,2.527732678592319,4.464817232505102,5.298447017786985,7.259705510798242,0.0
HRB,2.813803092173517,5.15896286660813,4.333980275969842,13.29317550742239,0.0
HRL,2.5783701532587804,3.7905422179953567,4.112596034893164,3.8964927099239177,0.0
HSIC,6.225382682019131,10.460680725571791,7.639287607563923,10.545724491313885,0.0
HST,1.7753644179907093,3.8250561102858196,1.7685041944198117,2.1802943284710823,0.0
HSY,29.761094351803095,15.528438799597664,20.555522932641985,19.003936732388176,0.0
HTLF,3.3078395287360247,11.33463146811448,4.14967290793746,5.550363375373364,0.0
HUM,51.66983730938304,64.82864206279383,42.90226226246503,73.22123008516475,0.0
IBM,9.701204732800049,16.568397863350956,13.863591923868364,11.701231750058263,0.0
ICE,12.400666220043465,13.235435927503495,13.44078735051653,24.04443361960246,0.0
IDXX,48.09165935215626,127.26417726355132,115.9544405809766,127.65382244307571,0.0
IEX,17.35599379945369,31.3575472544816,20.982180904298314,26.51240093938157,0.0
IFF,17.294725407531313,15.94868327754123,15.619812732334525,24.718626591219653,0.0
ILMN,34.58740211254955,63.4545098003304,68.82300004804847,109.70580861010882,0.0
INTH,0.0,0.0,0.00154491257718094,0.0,0.0
INTU,32.706258942705446,63.285940651664326,157.61876547460676,95.193582360553,0.0
IP,4.094665762723831,9.596073336848308,7.452522526287391,8.818210598307594,0.0
IPGP,23.369645313907636,49.74485710352102,45.92370302200734,36.62456710877244,0.0
IR,6.506510273116268,10.410229632204517,7.679441648260287,7.790768426914329,0.0
IRM,3.1675456397017308,4.554472652581744,9.540763518527086,6.3935946073417025,0.0
ISRG,17.944775817481034,54.1164653967855,66.81229634543024,64.36977664003014,0.0
IT,19.47079969087021,31.690790113771516,99.67718436344393,47.062640722899,0.0
ITW,21.27161623741281,32.40880261395554,20.447859131877024,27.286875359039623,0.0
IVZ,2.9789752488713366,5.845676614567239,3.6570709152611016,4.553948366246608,0.0
JBHT,15.649773041601298,26.645384674925783,27.34795881875343,24.05142937455539,0.0
JCI,5.822226169106246,9.963146781394931,14.080055330248054,13.647620108005507,0.0
